"subject" "activity" "measurement" "mean"
"1" "1" "WALKING" "time-body-acceleration-mean-x" 0.277330758736842
"2" "1" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.255461689622641
"3" "1" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.289188320408163
"4" "1" "SITTING" "time-body-acceleration-mean-x" 0.261237565425532
"5" "1" "STANDING" "time-body-acceleration-mean-x" 0.278917629056604
"6" "1" "LAYING" "time-body-acceleration-mean-x" 0.22159824394
"7" "3" "WALKING" "time-body-acceleration-mean-x" 0.275567462068966
"8" "3" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.260819873067797
"9" "3" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.292423484693878
"10" "3" "SITTING" "time-body-acceleration-mean-x" 0.257197599134615
"11" "3" "STANDING" "time-body-acceleration-mean-x" 0.280046513278689
"12" "3" "LAYING" "time-body-acceleration-mean-x" 0.275516852741935
"13" "5" "WALKING" "time-body-acceleration-mean-x" 0.27784234625
"14" "5" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.268459469914894
"15" "5" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.29354392712766
"16" "5" "SITTING" "time-body-acceleration-mean-x" 0.273694139545455
"17" "5" "STANDING" "time-body-acceleration-mean-x" 0.282544390892857
"18" "5" "LAYING" "time-body-acceleration-mean-x" 0.278334325576923
"19" "6" "WALKING" "time-body-acceleration-mean-x" 0.283658868070175
"20" "6" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.268229355098039
"21" "6" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.277045258145833
"22" "6" "SITTING" "time-body-acceleration-mean-x" 0.276778487454545
"23" "6" "STANDING" "time-body-acceleration-mean-x" 0.280346248596491
"24" "6" "LAYING" "time-body-acceleration-mean-x" 0.248656520140351
"25" "7" "WALKING" "time-body-acceleration-mean-x" 0.275592961754386
"26" "7" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.248706923078431
"27" "7" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.28030708
"28" "7" "SITTING" "time-body-acceleration-mean-x" 0.284674637291667
"29" "7" "STANDING" "time-body-acceleration-mean-x" 0.282723539433962
"30" "7" "LAYING" "time-body-acceleration-mean-x" 0.250176694038462
"31" "8" "WALKING" "time-body-acceleration-mean-x" 0.27468631
"32" "8" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.258880152048781
"33" "8" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.283484089210526
"34" "8" "SITTING" "time-body-acceleration-mean-x" 0.267491472934783
"35" "8" "STANDING" "time-body-acceleration-mean-x" 0.279620986111111
"36" "8" "LAYING" "time-body-acceleration-mean-x" 0.261254282907407
"37" "11" "WALKING" "time-body-acceleration-mean-x" 0.271821892881356
"38" "11" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.263775859277778
"39" "11" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.291605631956522
"40" "11" "SITTING" "time-body-acceleration-mean-x" 0.276590197358491
"41" "11" "STANDING" "time-body-acceleration-mean-x" 0.277715562765957
"42" "11" "LAYING" "time-body-acceleration-mean-x" 0.280592970877193
"43" "14" "WALKING" "time-body-acceleration-mean-x" 0.271959598644068
"44" "14" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.26242106612963
"45" "14" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.293422115555556
"46" "14" "SITTING" "time-body-acceleration-mean-x" 0.279990577037037
"47" "14" "STANDING" "time-body-acceleration-mean-x" 0.280545613833333
"48" "14" "LAYING" "time-body-acceleration-mean-x" 0.233275439803922
"49" "15" "WALKING" "time-body-acceleration-mean-x" 0.273899207962963
"50" "15" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.270187595833333
"51" "15" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.280198851190476
"52" "15" "SITTING" "time-body-acceleration-mean-x" 0.27290337979661
"53" "15" "STANDING" "time-body-acceleration-mean-x" 0.278915803962264
"54" "15" "LAYING" "time-body-acceleration-mean-x" 0.2894756525
"55" "16" "WALKING" "time-body-acceleration-mean-x" 0.276023564509804
"56" "16" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.255986102627451
"57" "16" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.295586802191489
"58" "16" "SITTING" "time-body-acceleration-mean-x" 0.280768574492754
"59" "16" "STANDING" "time-body-acceleration-mean-x" 0.283497402948718
"60" "16" "LAYING" "time-body-acceleration-mean-x" 0.274227162571429
"61" "17" "WALKING" "time-body-acceleration-mean-x" 0.272341855245902
"62" "17" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.252604768583333
"63" "17" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.29391828326087
"64" "17" "SITTING" "time-body-acceleration-mean-x" 0.2773570196875
"65" "17" "STANDING" "time-body-acceleration-mean-x" 0.277942503333333
"66" "17" "LAYING" "time-body-acceleration-mean-x" 0.269780085577465
"67" "19" "WALKING" "time-body-acceleration-mean-x" 0.273931172307692
"68" "19" "WALKING_UPSTAIRS" "time-body-acceleration-mean-x" 0.242118808925
"69" "19" "WALKING_DOWNSTAIRS" "time-body-acceleration-mean-x" 0.262688053871795
"70" "19" "SITTING" "time-body-acceleration-mean-x" 0.273830316164384
"71" "19" "STANDING" "time-body-acceleration-mean-x" 0.27817226
